ID,User,Dice,Hausdorff,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A,E,H,T,A
15,Dimitry Lachinov,oui,,0.800595,0.926528,0.933961,0.922669,0.657014,0.929726,0.923349,0.928612,0.818504,0.952888,0.928772,0.944974,0.805506,0.903434,0.902465,0.902605,0.720687,0.943419,0.882683,0.925892,0.819835,0.944475,0.929705,0.928585,0.869625,0.917683,0.914198,0.908181,0.602846,0.891065,0.856587,0.940377,0.788759,0.944872,0.911705,0.906928,0.828592,0.968613,0.929070,0.947626,0.476946,0.905022,0.801985,0.206180,0.766188,0.957458,0.878348,0.928716,0.736738,0.915675,0.873864,0.891876,0.726122,0.939895,0.864068,0.896285,0.840116,0.938025,0.891874,0.653926,0.804969,0.965775,0.917836,0.932074,0.845913,0.930338,0.900122,0.913805,0.669123,0.922778,0.820202,0.391842,0.857289,0.928939,0.862598,0.943402,0.876284,0.929739,0.904704,0.923509
15,Dimitry Lachinov,,oui,0.435184,0.243873,0.142427,0.198615,1.018878,0.236134,0.145296,0.152170,0.292450,0.099897,0.118704,0.106866,0.708114,0.390081,0.307213,0.342906,0.700487,0.158189,0.399600,0.427252,0.362034,0.143742,0.147935,0.180035,0.317427,0.319228,0.290919,0.284341,1.160368,0.462445,0.337767,0.197444,0.565080,0.130810,0.201169,0.206802,0.340496,0.054072,0.491208,0.101373,2.886479,0.524199,2.368903,14.089820,0.605618,0.099045,0.258943,0.115732,1.169237,0.580290,0.836380,1.058095,0.677044,0.195180,0.579806,0.877002,0.393787,0.178782,0.208832,4.585150,0.652195,0.068824,0.134560,0.250576,0.310540,0.178252,0.159709,0.236174,1.126777,0.242698,7.722089,3.768448,0.220997,0.252173,0.352143,0.109198,0.210626,0.206169,0.171789,0.175050
19,Ming Feng,oui,,0.594178,0.926968,0.873072,0.898730,0.605072,0.894396,0.878914,0.844571,0.609159,0.950556,0.828583,0.905902,0.705060,0.903556,0.838601,0.833852,0.633000,0.918081,0.851218,0.852612,0.652000,0.931611,0.880353,0.883571,0.504386,0.868945,0.806293,0.796310,0.565656,0.891101,0.805768,0.866165,0.556053,0.933130,0.826103,0.880385,0.691587,0.952917,0.875637,0.906080,0.637957,0.948085,0.866299,0.875164,0.558142,0.941898,0.776890,0.881526,0.449141,0.911639,0.770868,0.873304,0.596561,0.930612,0.798451,0.879787,0.771936,0.922760,0.866930,0.825774,0.679767,0.957431,0.867017,0.912583,0.689054,0.905628,0.920642,0.867482,0.636030,0.936270,0.844957,0.878719,0.663652,0.924807,0.875089,0.915774,0.684459,0.904566,0.815559,0.879092
19,Ming Feng,,oui,2.187666,0.230710,0.260448,0.243626,1.498610,0.416266,0.435198,0.459885,1.252434,0.106355,0.699241,0.207519,0.988602,0.371836,1.023889,0.460816,1.502843,0.217182,0.622272,0.999359,1.286114,0.180924,0.528387,0.455302,4.708341,0.695622,1.368961,1.577170,2.781569,0.519545,0.612760,0.528827,2.704871,0.183509,0.733980,0.247508,1.053499,0.107217,0.496162,0.241751,1.904540,0.112936,0.627989,0.422549,1.776980,0.273064,1.088676,0.332129,3.851217,0.428071,2.324552,0.633126,1.597740,0.260012,0.864263,0.519547,0.733410,0.251710,0.884818,0.603006,1.072254,0.093810,0.276880,0.385122,1.363161,0.310905,0.152239,0.801976,1.060983,0.165168,0.994165,0.427151,1.081565,0.241624,0.574063,0.219860,1.394272,0.409467,0.384316,0.620723
20,Li Zhang ,oui,,0.778301,0.948095,0.886934,0.933996,0.699711,0.890181,0.922071,0.934815,0.780919,0.958791,0.918163,0.947700,0.479636,0.918049,0.900241,0.936601,0.769432,0.941027,0.901703,0.904826,0.802049,0.959494,0.904222,0.934414,0.837291,0.929133,0.913082,0.914313,0.656143,0.887683,0.885467,0.927451,0.757042,0.945179,0.912766,0.891457,0.803004,0.961492,0.917607,0.927133,0.795337,0.950478,0.872157,0.935916,0.707928,0.948609,0.844133,0.929244,0.751766,0.918610,0.888653,0.926920,0.793647,0.934934,0.864324,0.910093,0.838092,0.964290,0.902642,0.913190,0.809378,0.967003,0.914701,0.940583,0.860386,0.932337,0.893604,0.929830,0.840365,0.944333,0.894159,0.933673,0.843596,0.933947,0.862614,0.955149,0.859672,0.935163,0.879322,0.943221
20,Li Zhang ,,oui,0.595274,0.118501,0.337713,0.129276,1.021934,0.454845,0.139933,0.103562,0.469611,0.083277,0.138134,0.100979,23.269977,0.247612,0.225493,0.136045,0.550853,0.165770,0.337441,0.865309,0.410477,0.086529,0.153839,0.127360,0.424135,0.252004,0.223465,0.274952,1.322509,0.733512,0.170174,0.173602,0.726785,0.124781,0.164135,0.413074,0.540309,0.085280,0.304374,0.189085,0.386762,0.135391,0.498559,0.104277,0.779652,0.139992,0.375217,0.109237,0.886856,0.491249,0.645485,0.356138,0.376582,0.238959,0.427318,0.519564,0.366854,0.066749,0.212332,0.137173,0.395337,0.063980,0.124474,0.108056,0.217680,0.186101,0.204480,0.136010,0.248735,0.123419,0.220509,0.098234,0.264727,0.181469,0.320957,0.064055,0.292585,0.198125,0.258889,0.081863
21,Pan Chen,oui,,0.832346,0.954095,0.928667,0.942330,0.800719,0.913338,0.911962,0.935687,0.855870,0.946854,0.868457,0.947658,0.865199,0.918299,0.915841,0.918418,0.784646,0.958310,0.890451,0.936969,0.799953,0.937750,0.906216,0.885321,0.822546,0.909320,0.875800,0.873547,0.684839,0.913331,0.863621,0.933289,0.796583,0.939083,0.920348,0.922951,0.844981,0.960805,0.908073,0.946194,0.843888,0.936510,0.900998,0.910376,0.693945,0.882005,0.871270,0.918784,0.742245,0.915446,0.904358,0.949629,0.797344,0.899021,0.895764,0.926976,0.876684,0.954310,0.902231,0.911362,0.857409,0.966323,0.905926,0.944876,0.885808,0.939392,0.874876,0.882280,0.810070,0.947876,0.887985,0.909978,0.856834,0.941462,0.837512,0.940890,0.879994,0.924213,0.849536,0.927083
21,Pan Chen,,oui,0.371696,0.105661,0.108072,0.090976,0.747178,0.323722,0.182033,0.108254,0.253748,0.158046,0.480079,0.094118,0.253780,0.293982,0.139104,0.510259,0.462443,0.084641,0.320572,0.167359,0.472409,0.166146,0.233641,0.651686,0.647346,0.463357,0.391128,0.776879,1.242938,0.325051,0.177492,0.179620,0.876740,0.164469,0.181114,0.157655,0.272585,0.075057,0.244633,0.075251,0.337265,0.166610,0.286781,0.725397,0.936737,0.670089,0.290722,0.151661,1.003466,0.565121,0.475568,0.127860,0.476908,0.391799,0.215985,0.277391,0.247750,0.099177,0.261084,0.179978,0.291987,0.071746,0.218856,0.101902,0.176473,0.156900,0.233674,1.021714,0.306888,0.117698,0.245906,0.408187,0.205553,0.168659,0.529839,0.198617,0.243193,0.266055,0.276709,0.158036
26,Vladimir Kondratenko,oui,,0.836637,0.935759,0.936203,0.937823,0.790107,0.855913,0.518050,0.926355,0.832758,0.959720,0.841819,0.954446,0.670126,0.916362,0.895581,0.927154,0.670356,0.937277,0.901594,0.915196,0.836637,0.930194,0.932134,0.920047,0.864408,0.936097,0.919554,0.897239,0.651329,0.870931,0.894683,0.934311,0.822707,0.930096,0.909390,0.927015,0.822259,0.963535,0.940020,0.909426,0.794147,0.931121,0.891993,0.937796,0.651737,0.942823,0.868661,0.913616,0.802501,0.905556,0.915718,0.930856,0.743463,0.918540,0.892085,0.909586,0.843571,0.939053,0.932993,0.897753,0.843472,0.962883,0.925434,0.936107,0.899851,0.912713,0.915104,0.930280,0.859003,0.931663,0.870288,0.906827,0.881548,0.923910,0.889663,0.947743,0.854827,0.925392,0.909125,0.929840
26,Vladimir Kondratenko,,oui,0.887920,0.165153,0.138474,0.133618,0.641543,1.243409,13.183929,0.158256,0.277832,0.076347,0.818562,0.054348,1.579895,0.263255,0.382769,0.168765,0.949153,0.159902,0.199541,0.664686,0.389203,0.198704,0.169086,0.540217,0.899489,0.212571,0.373824,0.304406,1.076732,0.945626,0.166518,0.149704,0.509311,0.200016,0.260855,0.178006,0.381812,0.072355,0.121180,0.604930,0.441851,0.190512,0.503419,0.093841,1.548622,0.172595,0.389430,0.215629,0.665868,0.585871,0.371573,0.210312,0.513860,0.361389,0.507567,0.598422,0.320019,0.160092,0.117221,0.382540,0.320380,0.073545,0.156550,0.193010,0.141277,0.311379,0.116175,0.161033,0.246244,0.168028,0.290198,0.292597,0.184338,0.216138,0.255469,0.104679,0.417315,0.227991,0.157367,0.214394
34,Sekeun Kim,oui,,0.727176,0.936426,0.929315,0.894620,0.778965,0.887437,0.917241,0.888482,0.854001,0.954390,0.941540,0.932124,0.677001,0.872152,0.855056,0.916440,0.637780,0.951601,0.898926,0.892892,0.774414,0.948927,0.927757,0.953822,0.777309,0.908243,0.863647,0.805409,0.669635,0.924214,0.880419,0.882108,0.786908,0.950333,0.903688,0.888883,0.797493,0.967499,0.944271,0.942199,0.699434,0.941405,0.850729,0.873057,0.724933,0.930919,0.846806,0.837836,0.588524,0.899827,0.895360,0.883507,0.759607,0.940643,0.789596,0.915961,0.835951,0.934127,0.942319,0.858451,0.786037,0.970742,0.906092,0.951235,0.843876,0.930494,0.893219,0.866846,0.783918,0.941032,0.844553,0.888879,0.809616,0.936025,0.818282,0.899994,0.833616,0.926689,0.886927,0.910941
34,Sekeun Kim,,oui,0.815865,0.170068,0.164544,1.157732,0.639267,0.439573,0.469886,0.579347,0.559745,0.096311,0.135988,0.427467,1.386462,0.541118,0.864557,0.546105,1.082688,0.097482,0.257858,1.582548,0.696643,0.122464,0.175630,0.088817,1.882063,0.430213,1.923973,1.637304,1.100145,0.202323,0.249275,1.365894,0.678370,0.117456,0.773631,0.899830,0.452564,0.061124,0.200450,0.196486,1.468132,0.135655,0.964184,2.088083,1.224512,0.204651,0.589119,3.362671,5.486175,0.664415,1.126577,1.236582,1.009993,0.170642,2.003461,0.591540,0.348237,0.185954,0.112335,0.901730,0.677772,0.053975,0.239109,0.104253,0.551545,0.202860,0.804335,2.246797,0.801996,0.119892,1.215038,1.300466,0.994847,0.186959,1.507622,1.714392,0.661898,0.252522,0.230408,0.606836
50,Zoe ,oui,,0.839570,0.917052,0.838823,0.843223,0.715068,0.910950,0.830233,0.912275,0.826713,0.945987,0.817459,0.928013,0.866161,0.963784,0.899684,0.928283,0.802716,0.935968,0.827530,0.897797,0.771967,0.893508,0.814335,0.900589,0.869218,0.927709,0.857428,0.885077,0.834507,0.942685,0.890715,0.909389,0.875466,0.914843,0.832579,0.948588,0.773657,0.943130,0.807202,0.923344,0.855128,0.961632,0.886922,0.926376,0.886994,0.917979,0.842848,0.951005,0.792757,0.928502,0.709288,0.937393,0.839435,0.957290,0.833723,0.891315,0.851076,0.930110,0.880525,0.955459,0.824534,0.933577,0.743700,0.931295,0.846589,0.953663,0.831886,0.916782,0.833491,0.837437,0.871626,0.879291,0.783847,0.885154,0.839766,0.925158,0.838629,0.933029,0.860653,0.927795
50,Zoe ,,oui,0.365683,0.260136,1.115206,3.129592,2.658715,0.556592,2.695820,0.699302,0.931106,0.140180,1.233737,0.263933,0.229871,0.068535,0.168065,0.443951,0.703588,0.237205,1.511091,1.076183,1.295874,0.527972,1.926965,0.591664,0.485657,0.320022,0.718595,0.530777,1.003744,0.143361,0.563489,0.339397,0.491997,0.318307,0.757080,0.079187,2.502023,0.141585,3.257924,0.323005,0.346798,0.105927,0.421503,0.188520,0.337727,0.330195,0.471467,0.110336,1.827285,0.236889,3.862451,0.093105,1.067400,0.101922,1.176808,0.828042,0.491307,0.241039,0.450617,0.058699,1.459128,0.250781,4.434827,0.197780,0.423760,0.126000,0.784666,0.687535,0.400711,1.157010,0.342797,1.301216,0.759160,0.572778,0.863442,0.682335,0.892551,0.204597,0.805474,0.273252
