case,task,subtask,score,value,alg_number,alg_name,phase
14,braintumor,BRATS_L3,HSD,0.8238803,1,BCVuniandes,1
15,braintumor,BRATS_L1,DCS,0.797928167,1,BCVuniandes,1
15,braintumor,BRATS_L1,HSD,0.9288293,1,BCVuniandes,1
16,braintumor,BRATS_L1,DCS,0.797257143,1,BCVuniandes,1
16,braintumor,BRATS_L1,HSD,0.87611187,1,BCVuniandes,1
17,braintumor,BRATS_L1,DCS,0.804013441,1,BCVuniandes,1
17,braintumor,BRATS_L2,DCS,0.624879093,1,BCVuniandes,1
17,braintumor,BRATS_L3,DCS,0.581899905,1,BCVuniandes,1
17,braintumor,BRATS_L1,HSD,0.94425315,1,BCVuniandes,1
17,braintumor,BRATS_L2,HSD,0.9033891,1,BCVuniandes,1
17,braintumor,BRATS_L3,HSD,0.82865185,1,BCVuniandes,1
18,braintumor,BRATS_L1,DCS,0.873004435,1,BCVuniandes,1
18,braintumor,BRATS_L2,DCS,0.666642452,1,BCVuniandes,1
18,braintumor,BRATS_L3,DCS,0.741150397,1,BCVuniandes,1
18,braintumor,BRATS_L1,HSD,0.9728077,1,BCVuniandes,1
18,braintumor,BRATS_L2,HSD,0.9019309,1,BCVuniandes,1
18,braintumor,BRATS_L3,HSD,0.92600614,1,BCVuniandes,1
19,braintumor,BRATS_L1,DCS,0.628044047,1,BCVuniandes,1
19,braintumor,BRATS_L2,DCS,0.603287298,1,BCVuniandes,1
19,braintumor,BRATS_L3,DCS,0.754543212,1,BCVuniandes,1
19,braintumor,BRATS_L1,HSD,0.80409116,1,BCVuniandes,1
19,braintumor,BRATS_L2,HSD,0.9487514,1,BCVuniandes,1
19,braintumor,BRATS_L3,HSD,0.84966856,1,BCVuniandes,1
20,braintumor,BRATS_L1,DCS,0.498956522,1,BCVuniandes,1
20,braintumor,BRATS_L2,DCS,0.737453419,1,BCVuniandes,1
20,braintumor,BRATS_L3,DCS,0.714760638,1,BCVuniandes,1
20,braintumor,BRATS_L1,HSD,0.8898486,1,BCVuniandes,1
20,braintumor,BRATS_L2,HSD,0.9892534,1,BCVuniandes,1
20,braintumor,BRATS_L3,HSD,0.9443055,1,BCVuniandes,1
21,braintumor,BRATS_L1,DCS,0.581690067,1,BCVuniandes,1
21,braintumor,BRATS_L2,DCS,0.450062578,1,BCVuniandes,1
21,braintumor,BRATS_L3,DCS,0.701437426,1,BCVuniandes,1
21,braintumor,BRATS_L1,HSD,0.8283422,1,BCVuniandes,1
21,braintumor,BRATS_L2,HSD,0.9652592,1,BCVuniandes,1
21,braintumor,BRATS_L3,HSD,0.97803545,1,BCVuniandes,1
22,braintumor,BRATS_L1,DCS,0.757784755,1,BCVuniandes,1
22,braintumor,BRATS_L2,DCS,0.183509108,1,BCVuniandes,1
22,braintumor,BRATS_L3,DCS,0.821538037,1,BCVuniandes,1
22,braintumor,BRATS_L1,HSD,0.97676665,1,BCVuniandes,1
22,braintumor,BRATS_L2,HSD,0.5201674,1,BCVuniandes,1
22,braintumor,BRATS_L3,HSD,0.9708442,1,BCVuniandes,1
23,braintumor,BRATS_L1,DCS,0.608297489,1,BCVuniandes,1
23,braintumor,BRATS_L2,DCS,0.821445193,1,BCVuniandes,1
23,braintumor,BRATS_L1,HSD,0.9449353,1,BCVuniandes,1
23,braintumor,BRATS_L2,HSD,0.98882866,1,BCVuniandes,1
24,braintumor,BRATS_L1,DCS,0.874989592,1,BCVuniandes,1
24,braintumor,BRATS_L2,DCS,0.057866528,1,BCVuniandes,1
24,braintumor,BRATS_L3,DCS,0.896929804,1,BCVuniandes,1
24,braintumor,BRATS_L1,HSD,0.9757054,1,BCVuniandes,1
24,braintumor,BRATS_L2,HSD,0.23003833,1,BCVuniandes,1
24,braintumor,BRATS_L3,HSD,0.9816049,1,BCVuniandes,1
25,braintumor,BRATS_L1,DCS,0.835409149,1,BCVuniandes,1
25,braintumor,BRATS_L2,DCS,0.022694969,1,BCVuniandes,1
25,braintumor,BRATS_L3,DCS,0.872452871,1,BCVuniandes,1
25,braintumor,BRATS_L1,HSD,0.9478072,1,BCVuniandes,1
25,braintumor,BRATS_L2,HSD,0.2625453,1,BCVuniandes,1
25,braintumor,BRATS_L3,HSD,0.94844973,1,BCVuniandes,1
26,braintumor,BRATS_L1,DCS,0.893992933,1,BCVuniandes,1
26,braintumor,BRATS_L2,DCS,0.022465438,1,BCVuniandes,1
